JobTitleClean,DepartmentClean,TemplateCount,SupervisorCount,EmployeeTypeCount,MinJaccard,MedianJaccard,MaxJaccard,Severity,MostDivergentPair,AOnlySample,BOnlySample
program assistant,fsy programs,6,5,1,0.2,0.3571,0.5385,2.307692,"(full time, SUP_f3712739) vs (full time, SUP_bbee4f71)","dce.admin, dce.yp.admin, hceb rm 350 and 351 marketing","dce.box.ceefyfsyhistoricaldata, dce.box.cefsyhiring, dce.box.ceyouthprograms.ypdata, dce.fsy.staffusers, dce.staff, dce.tableau.fsy, dce.yp.allusers, eag-ce-fsyfaculty, eag-ce-fsyhiring, eag-ce-fsyhiring-noreply"
program administrator,fsy programs,7,6,1,0.3077,0.475,0.75,1.5,"(full time, SUP_f55a357e) vs (full time, SUP_5cacd6a6)","dce.fsy.staffusers, dce.staff, dce.yp.staff","dce.admin, dce.box.cefsysessiondirectorsandteachers, dce.box.cevanvolunteers, dce.box.ceyouthprograms.ceefycoordinators, dce.fsy.adminusers, dce.tableau.fsy, dce.viscom.allusers, dce.yp.admin, dce.yp.administrators, dce.yp.allusers"
contract and hr specialist,human resources,3,2,1,0.2759,0.3077,0.4062,1.1875,"(full time, SUP_<missing>) vs (full time, SUP_8312ade0)","dce.fs.staff, hceb 403 and 413 computer ops, hceb rm 102 apc-bgs-eve, hceb rm 116 cashering and hr, is: student_employee_and_assistant","dce.accounting.allusers, dce.accounting.fulltime, dce.box.financialservices.ceregistration, dce.box.financialservices.registrationcallcenter, dce.cmp.infomgt, dce.hr.allusers, dce.reg.allusers, dcesg.fs, eag-ce-byuonlinereg, eag-ce-cehousing"
program coordinator,cw,2,2,1,0.0667,0.0667,0.0667,0.933333,"(student, SUP_a8e10c86) vs (student, SUP_1672be1a)",yes,"cw.allusers, dce-domainusers, dce.box.cw.adultconferences, dce.box.cw.cwdata, dce.box.cw.largeconferences, dce.box.cw.youthprograms, dce.cw.students, dce.student, hceb rm 240 storage, hceb rm b107 wc storage"
systems administrator,information technology,2,2,1,0.08,0.08,0.08,0.92,"(full time, SUP_f8feec84) vs (full time, SUP_0114ad6a)","ce-widen-admin, ce.box.cejerusalemcenter, dce-csr, dce-gpomanagers, dce-servicedesk, dce-userpropertiesmanagers, dce.box.ceteamwork, dce.box.cmp.allfiles, dce.box.cmp.systemsgroup, dce.cmp.aws","dce.as.coursecontent-fullaccess, dce.box.accreditation, dce.cmp.infomgt, dce.is.admin, dce.is.allusers, dce.is.dataentry, dce.is.designer, dce.is.frtdesksuper, dce.is.highschool, dce.is.instructorgraded"
associate controller,financial services,3,2,1,0.0909,0.1311,0.5854,0.829268,"(full time, SUP_<missing>) vs (full time, SUP_510c64de)","dce.accounting.allusers, dce.accounting.fulltime, dce.accoutning.accountants, dce.box.cefsydepartment, dce.box.cefsyshared, dce.box.cw.youthprograms, dce.box.financialservices.pogroup, dce.cw.admin, dce.cwallusers, dce.efy.admins","dce.cmp.infomgt, dce.financialservices.tableau, dce.fulltimeaccountants.tableau, dce.is.admin, dce.is.allusers, dce.is.customerrecovery, dce.is.dataentry, dce.is.highschool, dce.is.instructorgraded, dce.is.qualitycontrol"
office specialist ii,do,2,2,1,0.1818,0.1818,0.1818,0.818182,"(student, SUP_9d013bad) vs (student, SUP_207a26d3)",,"dce.box.cephonelisteditor, dce.box.deansleadershipcouncil, dce.box.deansofficecouncil, dce.box.deansofficedata, dce.cmp.resourcemasteradmin, dce.conferenceroomadmin, dce.vehicleadmin, eag-ce-dce.deans, hceb 3rd and 4th floor patios"
director,information technology,2,2,1,0.2,0.2,0.2,0.8,"(full time, SUP_5d56ab43) vs (full time, SUP_904858b0)","ce-widen-admin, dce-csr, dce.box.accreditation, dce.box.cemarketingandcustomersupport.hbcinforesources, dce.box.systemsgroup, dce.cmp.accessdivkioskfolder, dce.cmp.altirishelpdeskworker, dce.cmp.kioskadmin, dce.cmp.sccmorgadmin, dce.cmp.sccmtech","co: developer_manager, co: housing_employee, co: network_ops_staff, cw: award_financial_aid_non_credit, cw: director, cw: program_administrator, dce-domainusers, dce.cmp.developers, dce.cmp.orionsql, dce.cmp.teamlead"
student assistant ii,elc,2,2,1,0.2222,0.2222,0.2222,0.777778,"(student, SUP_87026c92) vs (student, SUP_dd5ea713)",elc: employee,"bgs, bgs.allusers, bgs: student assistant, dce.bgsev.roomscheduler, ev.allusers, hceb rm 102 apc-bgs-eve"
senior business analyst,financial services,2,1,1,0.2333,0.2333,0.2333,0.766667,"(full time, SUP_<missing>) vs (full time, SUP_4d73b2b5)","dce-gpomanagers, dce.box.cehrdata, dce.box.financialservices.cashiering, dce.box.financialservices.cecontrollersteam, dce.box.financialservices.hssinvoicing, dce.box.financialservices.pogroup, dce.cw.testprep, dce.fs.admin, eag-ce-ce, eag-ce-dce","cw: pm_administrator, cw: program_administrator, dce.accounting.accountants, dce.accounting.fulltime, dce.box.accreditation, dce.box.byuonline.registration, dce.box.ceefyregistration, dce.box.cw.youthprogram.festival, dce.box.financialservices.cebafinancialsystems, dce.cmp.infomgt"
